Personnel_No,Personnel_Subarea,Personnel_Area,Cost_Ctr,Cost_Center,Gender_Key,Job_Position,Entry,Leaving_date/Today,Birth_date,length_of_service,Age,Status
60003694,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Production Associate,17-08-2016,03-04-2017,15-08-1964,0,53,Terminated
60003695,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Production Associate,17-08-2016,29-03-2017,13-02-1965,0,52,Terminated
60003699,Newport News,US-VA-Newport News-C Auto Sys,214-286,SCM - Warehouse,Male,Production Associate,17-08-2016,05-04-2017,03-11-1969,0,47,Terminated
60003709,Newport News,US-VA-Newport News-C Auto Sys,214-K045,SCR,Male,Production Associate,17-08-2016,12-01-2017,14-08-1996,0,21,Terminated
60003722,Deer Park-CAS,US-IL-Deer Park-CAS Inc.,57-3407,BU TR Quality Mgmt,Male,Sr Supplier Quality Specialist,22-08-2016,25-01-2017,20-12-1970,0,46,Terminated
60003723,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,16-08-2016,01-01-2017,,0,117,Terminated
60003724,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Manufacturing Associate I,29-11-2016,26-05-2017,09-05-1995,0,22,Terminated
60003725,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Manufacturing Associate I,29-11-2016,23-08-2017,22-08-1993,0,24,Terminated
60003727,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,03-01-2017,19-01-2017,,0,117,Terminated
60003729,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,16-08-2016,21-02-2017,,0,117,Terminated
60003730,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,16-08-2016,01-01-2017,,0,117,Terminated
60003731,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,16-08-2016,01-05-2017,,0,117,Terminated
60003734,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,16-08-2016,28-02-2017,,0,117,Terminated
60003735,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,09-01-2017,18-08-2017,20-09-1967,0,50,Terminated
60003739,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,Temporary / Contingent,16-08-2016,05-06-2017,,0,117,Terminated
60003741,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,22-08-2016,29-08-2017,19-11-1982,1,34,Terminated
60003753,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,,15-08-2016,14-04-2017,,0,117,Terminated
60003765,Morganton,US-NC-Morganton-CAS Inc.,161158,Fin. Ably MK25E MOD7,unknown,Temporary / Contingent,18-08-2016,20-08-2017,,1,117,Terminated
60003769,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,,22-08-2016,09-06-2017,,0,117,Terminated
60003772,D.-Merc-Inc.,US-MI-Dearborn-Merc-CAS,205-I677,BU IC1 Sales Ford,Female,Intern/Student Program - Non Technical,22-08-2016,23-01-2017,04-11-1994,0,22,Terminated
60003790,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12730,MV Gen Maint,Male,Electrician MVN-132,22-08-2016,17-05-2017,14-01-1994,0,23,Terminated
60003792,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12030,MV Mixing,Male,Mixer Machine Operator MVN-217,09-01-2017,22-08-2017,20-03-1995,0,22,Terminated
60003793,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12030,MV Mixing,Male,Mixer Machine Operator MVN-209,24-08-2016,03-01-2017,03-03-1986,0,31,Terminated
60003797,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12170,MV Tire Assembly PLT,Male,Tire Builder Operator MVN-222,22-08-2016,04-06-2017,15-03-1989,0,28,Terminated
60003802,"SC, Fort Mill",US-All-Best Drive,999HR,HR Dummy-CoCd515 Emp,Male,Retail Accts payable/receivable clerk,22-08-2016,27-04-2017,25-07-1991,0,26,Terminated
60003815,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Female,Production Associate,25-08-2016,21-08-2017,13-09-1973,0,44,Terminated
60003826,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12240,MV Pass/LT Curing,Male,Press Operator MVN-112,26-08-2016,08-06-2017,20-08-1986,0,31,Terminated
60003836,Morganton,US-NC-Morganton-CAS Inc.,161152,Prod. Wash MOR,unknown,,26-08-2016,16-07-2017,,0,117,Terminated
60003837,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,24-08-2016,03-01-2017,,0,117,Terminated
60003844,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,10075,Mold Services Labor,Male,Repair Worker  MVN-002,29-08-2016,17-04-2017,06-02-1989,0,28,Terminated
60003856,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,22-08-2016,31-03-2017,,0,117,Terminated
60003860,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,22-08-2016,05-03-2017,,0,117,Terminated
60003861,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,03-01-2017,11-04-2017,,0,117,Terminated
60003867,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Machine Operator,12-09-2016,22-03-2017,01-10-1992,0,25,Terminated
60003879,Morganton,US-NC-Morganton-CAS Inc.,161158,Fin. Ably MK25E MOD7,unknown,Temporary / Contingent,30-08-2016,02-09-2017,,1,117,Terminated
60003883,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,23-08-2016,23-02-2017,,0,117,Terminated
60003885,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,17-01-2017,03-02-2017,,0,117,Terminated
60003887,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,23-08-2016,12-06-2017,,0,117,Terminated
60003892,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,03-01-2017,11-02-2017,,0,117,Terminated
60003894,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,Temporary / Contingent,23-08-2016,07-06-2017,,0,117,Terminated
60003898,Somersworth,US-NH-Somersworth-CT Tpol,2301202030,Ext Mat Prep Labor A,Female,Temporary / Contingent,05-08-2016,26-05-2017,01-01-1990,0,27,Terminated
60003911,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Plating Operator,13-02-2017,24-09-2017,16-09-1983,0,34,Terminated
60003914,Morganton,US-NC-Morganton-CAS Inc.,161164,MK25e Valves - EUV,unknown,Temporary / Contingent,30-08-2016,26-01-2017,,0,117,Terminated
60003916,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,01-09-2016,28-08-2017,,0,117,Terminated
60003921,Newport News,US-VA-Newport News-C Auto Sys,214-251,Quality &Reliability,Female,Intern/Student Program - Technical,06-09-2016,21-07-2017,02-01-1996,0,21,Terminated
60003925,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Final Finish Machine Operator MVN-109,07-09-2016,25-07-2017,02-08-1993,0,24,Terminated
60003929,Chatham,CA-ON-Chatham-C Automotive,101-2779,P S&A  Model Shop,Male,Elec/Electronic Techn.,06-09-2016,24-03-2017,14-05-1992,0,25,Terminated
60003933,Chatham,CA-ON-Chatham-C Automotive,101-2785,P S&A Actuators R&D,Male,Intern/Student Program - Technical,06-09-2016,28-04-2017,24-06-1996,0,21,Terminated
60003936,Morganton,US-NC-Morganton-CAS Inc.,161162,MK25e Valves - SG,unknown,,06-09-2016,17-03-2017,,0,117,Terminated
60003937,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,,20-01-2017,18-07-2017,,0,117,Terminated
60003938,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,07-09-2016,11-01-2017,,0,117,Terminated
60003940,Newport News,US-VA-Newport News-C Auto Sys,214-K063,GHPP Components,Female,Production Associate,08-09-2016,20-03-2017,12-05-1994,0,23,Terminated
60003941,Newport News,US-VA-Newport News-C Auto Sys,214-K063,GHPP Components,Male,Production Associate,08-09-2016,29-06-2017,26-04-1990,0,27,Terminated
60003947,Somersworth,US-NH-Somersworth-CT Tpol,2301203030,BM Machine&Proctect,Male,Operator SOM-002,26-06-2017,30-08-2017,11-06-1985,0,32,Terminated
60003950,Culpeper,US-VA-Culpeper-CAS Inc.,163144,MKxxE Machining,unknown,Temporary / Contingent,08-09-2016,14-10-2017,01-01-1990,1,27,Terminated
60003958,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,30-08-2016,18-04-2017,,0,117,Terminated
60003959,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,11-04-2017,25-04-2017,,0,117,Terminated
60003960,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,30-08-2016,11-05-2017,,0,117,Terminated
60003963,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,10-04-2017,21-05-2017,13-07-1989,0,28,Terminated
60003967,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,08-09-2016,30-05-2017,,0,117,Terminated
60003969,AH-North CAS,US-MI-AH-North-CAS Inc.,1764463,CES Interior,Male,Intern/Student Program - Technical,12-09-2016,13-09-2017,27-05-1995,1,22,Terminated
60003971,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,13-09-2016,02-03-2017,,0,117,Terminated
60003972,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,13-09-2016,18-09-2017,,1,117,Terminated
60003973,Morganton,US-NC-Morganton-CAS Inc.,161150,Bracketing,unknown,Temporary / Contingent,12-09-2016,17-09-2017,,1,117,Terminated
60003974,Morganton,US-NC-Morganton-CAS Inc.,161150,Bracketing,unknown,Temporary / Contingent,12-09-2016,26-05-2017,,0,117,Terminated
60003975,Somersworth,US-NH-Somersworth-CT Tpol,2301202050,Ext Asse. Labor AIS,Male,Temporary / Contingent,15-09-2016,13-03-2017,01-01-1980,0,37,Terminated
60003977,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12530,MV Receiving,Female,,24-10-2016,20-06-2017,20-07-1992,0,25,Terminated
60003978,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12650,MV QA Lab,Male,,12-09-2016,10-09-2017,27-10-1971,0,46,Terminated
60003983,Halstead,US-KS-Halstead-CT Legg,11000,General production,Male,Temporary / Contingent,31-07-2017,06-09-2017,20-09-1992,0,25,Terminated
60003997,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Machine Setter,10-10-2016,23-06-2017,14-05-1989,0,28,Terminated
60003998,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,,28-11-2016,10-01-2017,,0,117,Terminated
60003999,AH-North CAS,US-MI-AH-North-CAS Inc.,2264101,ADAS Administration,Male,Intern/Student Program - Non Technical,12-09-2016,08-09-2017,27-07-1995,0,22,Terminated
60004007,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,,13-09-2016,22-05-2017,,0,117,Terminated
60004011,Fletcher,US-NC-Fletcher-CAS Inc.,1862078,OCCUPANCY,unknown,Temporary / Contingent,12-09-2016,10-07-2017,,0,117,Terminated
60004015,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,01-01-2017,,0,117,Terminated
60004016,AH-S.PT-Holding,US-MI-AH-South-CAS,205-J091,P S&A FQ C T RnD,Male,Intern/Student Program - Technical,19-09-2016,10-03-2017,27-05-1996,0,21,Terminated
60004017,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,01-01-2017,,0,117,Terminated
60004019,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,09-01-2017,,0,117,Terminated
60004023,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,25-01-2017,,0,117,Terminated
60004025,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,17-01-2017,,0,117,Terminated
60004028,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,01-01-2017,,0,117,Terminated
60004030,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,05-09-2017,,0,117,Terminated
60004031,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,14-09-2016,06-02-2017,,0,117,Terminated
60004034,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-09-2016,18-04-2017,,0,117,Terminated
60004047,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Female,Rework/Repair Operator Final Finish MVN-,14-09-2016,19-03-2017,13-03-1969,0,48,Terminated
60004050,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12570,MV Shipping and Whse,Male,Material Handler,14-09-2016,31-01-2017,17-03-1956,0,61,Terminated
60004054,AH-North CAS,US-MI-AH-North-CAS Inc.,164351,Quality,Female,Intern/Student Program - Technical,19-09-2016,18-08-2017,20-12-1993,0,23,Terminated
60004055,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22070,MV CF Pass Curing,Male,Set Up Technician III,12-09-2016,18-01-2017,26-04-1967,0,50,Terminated
60004063,Morganton,US-NC-Morganton-CAS Inc.,761175,EAS Production,unknown,,15-09-2016,23-01-2017,,0,117,Terminated
60004067,Somersworth,US-NH-Somersworth-CT Tpol,2301203050,EBA2 Crush ring ass.,unknown,Temporary / Contingent,16-09-2016,07-04-2017,01-01-1970,0,47,Terminated
60004070,Halstead,US-KS-Halstead-CT Legg,11000,General production,Male,Press Operator HAL-002,14-09-2016,06-01-2017,10-06-1997,0,20,Terminated
60004074,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12270,MV Truck F.F.,Female,Inspector II,14-11-2016,26-09-2017,10-04-1977,0,40,Terminated
60004079,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12140,MV Pass/LT Bead Assm,Male,,15-02-2017,22-02-2017,20-05-1953,0,64,Terminated
60004081,Morganton,US-NC-Morganton-CAS Inc.,761175,EAS Production,unknown,Temporary / Contingent,16-09-2016,16-09-2017,,1,117,Terminated
60004086,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,09-01-2017,25-06-2017,08-11-1985,0,31,Terminated
60004087,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12570,MV Shipping and Whse,Male,,15-03-2017,03-04-2017,04-12-1969,0,47,Terminated
60004089,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,19-09-2016,05-04-2017,24-04-1963,0,54,Terminated
60004091,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,19-09-2016,02-07-2017,26-08-1994,0,23,Terminated
60004101,AH-North CAS,US-MI-AH-North-CAS Inc.,2264333,ADAS Test & Validati,Male,Test Engineer,19-09-2016,16-06-2017,31-08-1989,0,28,Terminated
60004110,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Female,Machine Operator,07-11-2016,08-09-2017,16-04-1996,0,21,Terminated
60004117,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,19-09-2016,23-09-2017,,1,117,Terminated
60004121,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,21-09-2016,12-02-2017,07-12-1985,0,31,Terminated
60004125,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Machinist Technician II,19-09-2016,29-06-2017,21-04-1969,0,48,Terminated
60004127,Culpeper,US-VA-Culpeper-CAS Inc.,163144,MKxxE Machining,Male,Temporary / Contingent,19-09-2016,26-03-2017,01-01-1980,0,37,Terminated
60004134,Newport News,US-VA-Newport News-C Auto Sys,214-K061,XL3 Fuel Rail,Male,Production Associate,21-09-2016,28-04-2017,24-11-1996,0,20,Terminated
60004138,Newport News,US-VA-Newport News-C Auto Sys,214-K045,SCR,Female,Production Associate,21-09-2016,12-05-2017,08-01-1989,0,28,Terminated
60004140,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,14-09-2016,01-01-2017,,0,117,Terminated
60004143,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-06-2017,16-06-2017,,0,117,Terminated
60004147,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,11-07-2017,15-08-2017,,0,117,Terminated
60004149,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,13-12-2016,18-01-2017,,0,117,Terminated
60004150,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,13-12-2016,02-01-2017,,0,117,Terminated
60004153,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,14-09-2016,30-01-2017,,0,117,Terminated
60004156,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,13-06-2017,01-09-2017,,0,117,Terminated
60004157,Morganton,US-NC-Morganton-CAS Inc.,761175,EAS Production,unknown,,23-09-2016,15-05-2017,,0,117,Terminated
60004158,Morganton,US-NC-Morganton-CAS Inc.,761175,EAS Production,unknown,,26-09-2016,15-09-2017,,0,117,Terminated
60004161,D.-Comm-Holding,US-MI-Dearborn-CAS,219-Q001,Operations,Male,Intern/Student Program - Non Technical,03-10-2016,28-04-2017,22-09-1991,0,26,Terminated
60004182,AH-S.CA-Inc.,US-MI-AH-South-CAS,205-P748,PES ABH Advanced Pur,Male,Intern/Student Program - Non Technical,26-09-2016,31-08-2017,28-03-1995,0,22,Terminated
60004187,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12730,MV Gen Maint,Male,Intern/Student Program - Non Technical,26-09-2016,31-08-2017,16-05-1999,0,18,Terminated
60004190,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,26-09-2016,23-01-2017,27-06-1996,0,21,Terminated
60004191,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Manufacturing Associate I,26-09-2016,30-08-2017,23-10-1997,0,20,Terminated
60004193,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,26-09-2016,07-07-2017,12-02-1974,0,43,Terminated
60004195,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Manufacturing Associate I,26-09-2016,03-03-2017,16-06-1960,0,57,Terminated
60004197,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,21-09-2016,30-03-2017,,0,117,Terminated
60004200,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,24-05-2017,20-06-2017,,0,117,Terminated
60004212,Barnsville,US-GA-Barnsville-CTNA Aldora,18390,AD Direct Cabling,unknown,Temporary / Contingent,07-09-2016,25-04-2017,01-01-1980,0,37,Terminated
60004218,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12240,MV Pass/LT Curing,Male,Press Operator MVN-212,26-09-2016,13-03-2017,17-07-1994,0,23,Terminated
60004220,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12170,MV Tire Assembly PLT,Male,Tire Builder Operator MVN-222,26-09-2016,27-02-2017,26-01-1993,0,24,Terminated
60004221,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22060,MV CF Tire Assem PLT,Male,Truck Driver MVN-203,26-09-2016,24-03-2017,27-03-1991,0,26,Terminated
60004222,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12170,MV Tire Assembly PLT,Male,Tire Builder Operator MVN-222,26-09-2016,12-02-2017,24-01-1995,0,22,Terminated
60004223,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22060,MV CF Tire Assem PLT,Male,Truck Driver MVN-203,26-09-2016,31-07-2017,03-11-1960,0,56,Terminated
60004226,Morganton,US-NC-Morganton-CAS Inc.,161162,MK25e Valves - SG,unknown,Temporary / Contingent,27-09-2016,01-10-2017,,1,117,Terminated
60004227,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12270,MV Truck F.F.,Male,,28-09-2016,09-04-2017,21-03-1955,0,62,Terminated
60004229,Somersworth,US-NH-Somersworth-CT Tpol,2301203030,BM Machine&Proctect,unknown,Temporary / Contingent,23-09-2016,05-04-2017,01-01-1990,0,27,Terminated
60004236,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,99637,HQ IT Local Operatio,Female,IT Technician III,10-10-2016,23-06-2017,31-10-1991,0,25,Terminated
60004240,Somersworth,US-NH-Somersworth-CT Tpol,2301203050,EBA2 Crush ring ass.,Male,Temporary / Contingent,03-10-2016,28-01-2017,01-01-1990,0,27,Terminated
60004249,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,21-09-2016,27-03-2017,,0,117,Terminated
60004250,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,21-09-2016,25-01-2017,,0,117,Terminated
60004251,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,21-09-2016,08-02-2017,,0,117,Terminated
60004256,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,14-03-2017,26-04-2017,,0,117,Terminated
60004257,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,31-05-2017,04-06-2017,,0,117,Terminated
60004260,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,Temporary / Contingent,21-09-2016,16-09-2017,,0,117,Terminated
60004261,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,Temporary / Contingent,21-09-2016,25-01-2017,,0,117,Terminated
60004262,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,Temporary / Contingent,21-09-2016,30-05-2017,,0,117,Terminated
60004264,AH-North CAS,US-MI-AH-North-CAS Inc.,564451,Legal - AHN,Male,Intern/Student Program - Non Technical,10-10-2016,28-06-2017,20-08-1985,0,32,Terminated
60004265,San Jose CITS,US-CA-San Jose-CITS,SW-6000,ITS R&D,Male,Intern/Student Program - Technical,15-09-2016,28-02-2017,26-12-1991,0,25,Terminated
60004266,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,30-09-2016,29-05-2017,07-02-1971,0,46,Terminated
60004267,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12570,MV Shipping and Whse,Male,,01-02-2017,21-08-2017,13-06-1964,0,53,Terminated
60004281,Barnsville,US-GA-Barnsville-CTNA Aldora,18390,AD Direct Cabling,Male,Temporary / Contingent,14-09-2016,20-03-2017,01-01-1970,0,47,Terminated
60004285,Troy CA,US-MI-Troy-CAS Inc.,205-T200,OES FG&A,Female,Intern/Student Program - Non Technical,24-10-2016,04-05-2017,19-09-1991,0,26,Terminated
60004287,Barnsville,US-GA-Barnsville-CTNA Aldora,18390,AD Direct Cabling,Female,Temporary / Contingent,12-09-2016,26-02-2017,14-05-1983,0,34,Terminated
60004291,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,,27-03-2017,24-06-2017,,0,117,Terminated
60004294,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,26-09-2016,05-01-2017,,0,117,Terminated
60004296,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Plating Operator,09-01-2017,09-08-2017,16-01-1990,0,27,Terminated
60004302,Fletcher,US-NC-Fletcher-CAS Inc.,1862351,QA ADMINISTRATION,Male,Quality Engineer,03-10-2016,11-08-2017,26-09-1963,0,54,Terminated
60004306,Morganton,US-NC-Morganton-CAS Inc.,161150,Bracketing,unknown,Temporary / Contingent,03-10-2016,08-10-2017,,1,117,Terminated
60004312,Fort Mill-PLT,US-SC-Fort Mill-CTNA Prod,999HR,HR Dummy-CoCd515 Emp,Female,Sales Associate - SIBP,17-10-2016,10-03-2017,18-02-1994,0,23,Terminated
60004313,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,05-10-2016,29-05-2017,06-03-1994,0,23,Terminated
60004314,Newport News,US-VA-Newport News-C Auto Sys,214-219,Plant IE,Male,Intern/Student Program - Technical,03-10-2016,29-09-2017,02-12-1990,0,26,Terminated
60004324,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Intern/Student Program - Technical,03-10-2016,03-01-2017,18-12-1993,0,23,Terminated
60004326,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,25-04-2017,05-05-2017,,0,117,Terminated
60004327,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Manufacturing Associate I,29-06-2017,13-09-2017,01-07-1994,0,23,Terminated
60004331,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,28-09-2016,10-05-2017,,0,117,Terminated
